,뉴스제목,주가변동
0,초반 상승세…기업 실적에 다시 관심,0
1,日 화이트리스트 제외?…코스피 2000선 무너지나,0
2,美 FOMC에 日 수출규제까지…원화가치 급락,0
3,美 금리인하에도 시장은 '실망',0
4,"코스피, '日 화이트리스트 제외' 앞두고 하락…7개월 만에 최저치",0
5,"실망감 준 美금리인하, 시장 변동성 더 커질까",0
6,"""Fed 기준금리 인하…내년 상반기까지 더 내린다""",0
7,10년만에 금리 내리고도 욕 먹은 파월…왜?,0
8,채권형펀드 설정액 사상최대…수익률 7% 해외채권형 '솔깃',0
9,반환점 돈 상장사 2분기 실적발표…절반은 어닝쇼크,0
10,"“한국 6월 산업활동, 경기 바닥 확인 시점 지연”",0
11,"금리인하에도 급락…""장기 사이클 아냐"" 파월에 실망",0
12,독일·프랑스↑ 영국↓,0
13,초반 상승세…기업 실적에 다시 관심,0
14,日 화이트리스트 제외?…코스피 2000선 무너지나,0
15,美 FOMC에 日 수출규제까지…원화가치 급락,0
16,美 금리인하에도 시장은 '실망',0
17,"코스피, '日 화이트리스트 제외' 앞두고 하락…7개월 만에 최저치",0
18,"실망감 준 美금리인하, 시장 변동성 더 커질까",0
19,"""Fed 기준금리 인하…내년 상반기까지 더 내린다""",0
20,10년만에 금리 내리고도 욕 먹은 파월…왜?,0
21,채권형펀드 설정액 사상최대…수익률 7% 해외채권형 '솔깃',0
22,반환점 돈 상장사 2분기 실적발표…절반은 어닝쇼크,0
23,"“한국 6월 산업활동, 경기 바닥 확인 시점 지연”",0
24,"금리인하에도 급락…""장기 사이클 아냐"" 파월에 실망",0
25,독일·프랑스↑ 영국↓,0
26,초반 하락세…미중 무역 우려+고용 부진,0
27,연속 악재에 韓증시 휘청…코스피 2000 붕괴,0
28,악재 산적한 외환시장…1200원 코앞,0
29,"코스피, 한일 무역전쟁 본격화에 1998선 하락",0
30,'백색국가 제외' 日증시에 더 충격…2% 급락,0
31,한일 갈등 안보로 확전…美 개입할까,0
32,"""일본 이어 미중 갈등도 격화…코스피 2000선 위험""",0
33,"또 돌아온 MSCI 재조정…외국인, 최대 2조원 주식 팔듯",0
34,"“트럼프 관세 언급, 中정부 반응 따라 韓증시 변화”",0
35,"5G 시대 제동 걸린 삼성·LG폰, 주가도 서행 구간?",0
36,"파월, 금리 내렸지만… 시장·트럼프 기대와 달랐다",0
37,미중 무역갈등 격화…코스피 2000선 위협하는 대외 악재,0
38,아베도 골치 아픈데 트럼프까지,0
39,美 중국에 추가 관세 부과계획에 1% 안팎 급락,0
40,'관세폭탄' 재점화에 급전직하…다우 1%↓,0
41,독일·프랑스↑ 영국↓,0
42,초반 하락세…미중 무역 우려+고용 부진,0
43,연속 악재에 韓증시 휘청…코스피 2000 붕괴,0
44,악재 산적한 외환시장…1200원 코앞,0
45,"코스피, 한일 무역전쟁 본격화에 1998선 하락",0
46,'백색국가 제외' 日증시에 더 충격…2% 급락,0
47,한일 갈등 안보로 확전…美 개입할까,0
48,"""일본 이어 미중 갈등도 격화…코스피 2000선 위험""",0
49,"또 돌아온 MSCI 재조정…외국인, 최대 2조원 주식 팔듯",0
50,"“트럼프 관세 언급, 中정부 반응 따라 韓증시 변화”",0
51,"5G 시대 제동 걸린 삼성·LG폰, 주가도 서행 구간?",0
52,"파월, 금리 내렸지만… 시장·트럼프 기대와 달랐다",0
53,미중 무역갈등 격화…코스피 2000선 위협하는 대외 악재,0
54,아베도 골치 아픈데 트럼프까지,0
55,美 중국에 추가 관세 부과계획에 1% 안팎 급락,0
56,'관세폭탄' 재점화에 급전직하…다우 1%↓,0
57,독일·프랑스↑ 영국↓,0
58,초반 하락세…위안화 약세+무역 우려 심화,0
59,日과의 전면전·바이오는 거품 붕괴...패닉에 빠진 韓증시,0
60,7위안 돌파에 와르르… 위안화 무기화 가능성도?,0
61,"11년전 밸류로 돌아간 증시…코스피, 3년2개월 저점",0
62,미중 무역분쟁 암초 걸린 증시…코스피·코스닥 '급락',0
63,"전문가들 ""모든 악재 반영…하단 가늠 어렵다""(종합)",0
64,바이오 거품 붕괴에 코스닥 5% 넘게 폭락…사이드카 발동,0
65,코스닥 6%대 급락 사이드카 발동…3년1개월여만에 처음(종합),0
66,"최약체로 전락한 한국 증시, 일본 수출 규제 속 반등 관건은",0
67,"재차 고조된 美·中무역분쟁…""신흥국 증시 당분간 어렵다""",0
68,日 수출규제뒤 반사이익 수혜株 시총 2조원 늘어,0
69,막판 스퍼트 올리는 예탁원⋯전자증권 리스크 관리 총력,0
70,"'우리끼리 치고 받고'…금융사, 동남아 M&A서 출혈경쟁 심화",0
71,"韓 증시 약세 불가피하지만…""日기업도 4분기부터 피해 본격화""",0
72,초반 하락세…위안화 약세+무역 우려 심화,0
73,日과의 전면전·바이오는 거품 붕괴...패닉에 빠진 韓증시,0
74,7위안 돌파에 와르르… 위안화 무기화 가능성도?,0
75,"11년전 밸류로 돌아간 증시…코스피, 3년2개월 저점",0
76,미중 무역분쟁 암초 걸린 증시…코스피·코스닥 '급락',0
77,"전문가들 ""모든 악재 반영…하단 가늠 어렵다""(종합)",0
78,바이오 거품 붕괴에 코스닥 5% 넘게 폭락…사이드카 발동,0
79,코스닥 6%대 급락 사이드카 발동…3년1개월여만에 처음(종합),0
80,"최약체로 전락한 한국 증시, 일본 수출 규제 속 반등 관건은",0
81,"재차 고조된 美·中무역분쟁…""신흥국 증시 당분간 어렵다""",0
82,日 수출규제뒤 반사이익 수혜株 시총 2조원 늘어,0
83,막판 스퍼트 올리는 예탁원⋯전자증권 리스크 관리 총력,0
84,"'우리끼리 치고 받고'…금융사, 동남아 M&A서 출혈경쟁 심화",0
85,"韓 증시 약세 불가피하지만…""日기업도 4분기부터 피해 본격화""",0
86,초반 상승세…기술주 선전에 전날 급락 후 반등,0
87,中 환율안정책 나오자 ‘일단’ 진정…원·달러 환율 보합,0
88,"변동성 큰 증시…전문가들 ""물타기도 위험""",0
89,中 위안화 절하 속도 조절에 낙폭 축소,0
90,"개미, 7800억 눈물의 손절매…오늘도 시총 26조원 날아갔다",0
91,"코스피, 미국의 中 환율조작국 지정에 1910선 하락…코스닥 3%대 ↓",0
92,코스닥 상승 전환…하락장 거스를 환율수혜주는?,0
93,"美中 확전에 '침체' 공포…""美, 다시 '제로금리' 간다""",0
94,"""앞날도 깜깜"" 안전자산으로 '피난행렬'…경기침체 경고등",0
95,원화 약세까지 겹친 국내 증시⋯외국인 '셀 코리아' 가속 페달 밟나,0
96,하루만에 시총 49조 증발…금융위 '비상카드' 꺼낼까,0
97,美-中-日이 자유무역 질서 흔들자… 글로벌 금융시장 요동,0
98,"`우연일까 필연일까` 바이오株, 폭락 전 반복되는 전조현상",0
99,"뭉칫돈 몰린 베트남펀드, 성장세 따라 '수익 효자’ 될까",0
100,美 재무부 중국 환율조작국 지정…무역갈등 '확전',0
101,"악재가 끊이지 않는 증시…""부진한 흐름 지속""",0
102,미중 경제전쟁 공포에 '패닉'…다우 3%↓,0
103,미중 환율·무역전쟁 공포에 3% 안팎 폭락,0
104,"美中갈등, 통화전쟁 비화 우려 속…하락",0
105,초반 상승세…기술주 선전에 전날 급락 후 반등,0
106,中 환율안정책 나오자 ‘일단’ 진정…원·달러 환율 보합,0
107,"변동성 큰 증시…전문가들 ""물타기도 위험""",0
108,中 위안화 절하 속도 조절에 낙폭 축소,0
109,"개미, 7800억 눈물의 손절매…오늘도 시총 26조원 날아갔다",0
110,"코스피, 미국의 中 환율조작국 지정에 1910선 하락…코스닥 3%대 ↓",0
111,코스닥 상승 전환…하락장 거스를 환율수혜주는?,0
112,"美中 확전에 '침체' 공포…""美, 다시 '제로금리' 간다""",0
113,"""앞날도 깜깜"" 안전자산으로 '피난행렬'…경기침체 경고등",0
114,원화 약세까지 겹친 국내 증시⋯외국인 '셀 코리아' 가속 페달 밟나,0
115,하루만에 시총 49조 증발…금융위 '비상카드' 꺼낼까,0
116,美-中-日이 자유무역 질서 흔들자… 글로벌 금융시장 요동,0
117,"`우연일까 필연일까` 바이오株, 폭락 전 반복되는 전조현상",0
118,"뭉칫돈 몰린 베트남펀드, 성장세 따라 '수익 효자’ 될까",0
119,美 재무부 중국 환율조작국 지정…무역갈등 '확전',0
120,"악재가 끊이지 않는 증시…""부진한 흐름 지속""",0
121,미중 경제전쟁 공포에 '패닉'…다우 3%↓,0
122,미중 환율·무역전쟁 공포에 3% 안팎 폭락,0
123,"美中갈등, 통화전쟁 비화 우려 속…하락",0
124,초반 하락세…무역전쟁 장기화에 글로벌 침체 우려,0
125,미·중 갈등 ‘불안감’…환율 3년5개월來 최고,0
126,코스피 사흘째 올랐지만…외인·기관은 외면 지속,0
127,위안화 우려 진정에 中증시 회복세,0
128,중국 경기 부양책에 동반 상승한 코스피…1942선,0
129,"코스피 PBR 금융위기만도 못한데, 반등 약한 이유는",0
130,성장한계 부딪힌 이마트…증권사 14곳 목표가 하향,0
131,"""여전한 불확실성…진바닥은 어디""",0
132,외국인 7월 주식 2조 '매수'…채권은 4천억 순회수,0
133,사실상 `매도`…증권사 목표가 대폭 하향 종목 `속출`,0
134,"미중 무역분쟁 격화 조짐…""위험자산 비중축소""",0
135,美·中 갈등의 척도 된 위안화 환율,0
136,초반 하락세…무역전쟁 장기화에 글로벌 침체 우려,0
137,미·중 갈등 ‘불안감’…환율 3년5개월來 최고,0
138,코스피 사흘째 올랐지만…외인·기관은 외면 지속,0
139,위안화 우려 진정에 中증시 회복세,0
140,중국 경기 부양책에 동반 상승한 코스피…1942선,0
141,"코스피 PBR 금융위기만도 못한데, 반등 약한 이유는",0
142,성장한계 부딪힌 이마트…증권사 14곳 목표가 하향,0
143,"""여전한 불확실성…진바닥은 어디""",0
144,외국인 7월 주식 2조 '매수'…채권은 4천억 순회수,0
145,사실상 `매도`…증권사 목표가 대폭 하향 종목 `속출`,0
146,"미중 무역분쟁 격화 조짐…""위험자산 비중축소""",0
147,美·中 갈등의 척도 된 위안화 환율,0
148,초반 하락세…침체 신호 확대,0
149,"韓 증시, 미·중 틈에서 일희일비",0
150,트럼프 관세 연기에 증시 '안도' 랠리,0
151,"코스피, 미중 협상 기대감에 상승…코스닥 600선 '눈앞'",0
152,"SK이노·S-OIL, 미중 무역갈등 완화 조짐에 반등",0
153,한발 물러선 트럼프…관세부과 연기 무역갈등 완화,0
154,'中관세 일부 연기' 美증시 훈풍…채권시장엔 '경기침체 경고음'(종합),0
155,"""트럼프가 움찔했다""…그가 '무역전쟁'서 물러선 이유",0
156,한국콜마·DHC 사태 일파만파···K뷰티株 주가 ‘요동’,0
157,코스피 초상집인데… 남몰래 웃는 ‘ELS 투자자’,0
158,"""반도체·휴대폰 빼고는…"" 주요 업종 '톱3' 매출, 日 절반",0
159,"美, 中 추가관세 완화 해외시장↑…증권가 신중",0
160,"미, 대중 추가관세 연기에 1%대 상승",0
161,트럼프 '中 관세' 양보에 급반등…S&P 1.5%↑,0
162,"美, 對中관세 일부 연기 소식에…상승",0
163,초반 하락세…침체 신호 확대,0
164,"韓 증시, 미·중 틈에서 일희일비",0
165,트럼프 관세 연기에 증시 '안도' 랠리,0
166,"코스피, 미중 협상 기대감에 상승…코스닥 600선 '눈앞'",0
167,"SK이노·S-OIL, 미중 무역갈등 완화 조짐에 반등",0
168,한발 물러선 트럼프…관세부과 연기 무역갈등 완화,0
169,'中관세 일부 연기' 美증시 훈풍…채권시장엔 '경기침체 경고음'(종합),0
170,"""트럼프가 움찔했다""…그가 '무역전쟁'서 물러선 이유",0
171,한국콜마·DHC 사태 일파만파···K뷰티株 주가 ‘요동’,0
172,코스피 초상집인데… 남몰래 웃는 ‘ELS 투자자’,0
173,"""반도체·휴대폰 빼고는…"" 주요 업종 '톱3' 매출, 日 절반",0
174,"美, 中 추가관세 완화 해외시장↑…증권가 신중",0
175,"미, 대중 추가관세 연기에 1%대 상승",0
176,트럼프 '中 관세' 양보에 급반등…S&P 1.5%↑,0
177,"美, 對中관세 일부 연기 소식에…상승",0
178,3대 지수 1% 내외 ↑…의사록 관망+실적 호조,0
179,"이탈리아 영향 투심 위축, 다음 관심사는 파월의 '입'",0
180,"코스피, 미중 무역협상 기대감 상승에 반등…1965선 안착",0
181,오랜만에 기분 좋은 디커플링…다음 관심은 FOMC 의사록,0
182,나흘 만에 위안화 절상한 中…원화·위안화 동반상승,0
183,"中 성장세 올라탄 오리온·삼양식품, 하반기 전망도 '맑음'",0
184,'경기침체 공포'의 진짜 이유는 '정책 불신',0
185,"'돈 주고 위험 산 꼴'…국내 투자자, 또 글로벌IB '호갱' 됐다",0
186,상반기 실손보험 적자 1조에 손해보험株 ‘시무룩’,0
187,판세 바뀐 코스닥…바이오 `지고` IT부품 다시 `뜨고`,0
188,국내 증시 바닥론 '솔솔',0
189,美 국채 금리 하락…국내 증시 약보합 출발 예상,0
190,미 국채금리 하락에 증시 다시 하락,0
191,국채 금리 내리자 주가도 미끄럼…S&P 0.8%↓,0
192,이탈리아 정국혼란…약세,0
193,3대 지수 1% 내외 ↑…의사록 관망+실적 호조,0
194,"이탈리아 영향 투심 위축, 다음 관심사는 파월의 '입'",0
195,"코스피, 미중 무역협상 기대감 상승에 반등…1965선 안착",0
196,오랜만에 기분 좋은 디커플링…다음 관심은 FOMC 의사록,0
197,나흘 만에 위안화 절상한 中…원화·위안화 동반상승,0
198,"中 성장세 올라탄 오리온·삼양식품, 하반기 전망도 '맑음'",0
199,'경기침체 공포'의 진짜 이유는 '정책 불신',0
200,"'돈 주고 위험 산 꼴'…국내 투자자, 또 글로벌IB '호갱' 됐다",0
201,상반기 실손보험 적자 1조에 손해보험株 ‘시무룩’,0
202,판세 바뀐 코스닥…바이오 `지고` IT부품 다시 `뜨고`,0
203,국내 증시 바닥론 '솔솔',0
204,美 국채 금리 하락…국내 증시 약보합 출발 예상,0
205,미 국채금리 하락에 증시 다시 하락,0
206,국채 금리 내리자 주가도 미끄럼…S&P 0.8%↓,0
207,이탈리아 정국혼란…약세,0
208,3대 지수 상승…파월 연설 관망+실적 호조,0
209,위안화 따라간 원화…원·달러 환율 상승,0
210,'금리인하 끝났나'…韓증시 나흘만에 하락,0
211,'매파' 연준에 당황한 증시 짙은 관망,0
212,美 '잭슨홀' 파월 연설 앞두고 관망,0
213,"코스피, 외인·기관 매도에 1950선 후퇴",0
214,짧았지만 강렬한 경고…장단기 금리 또 역전,0
215,'삼성 공화국’에 쏠린 매수리포트,0
216,'부익부빈익빈' ETF…올 들어 소규모 펀드 약 4배 늘어나,0
217,변동성 여전한데⋯아슬아슬한 증권사 파생상품 발행 러시,0
218,장단기 금리역전에도 오른 美 증시…경기침체 우려 완화,0
219,"낮아지는 실적 눈높이, 제한적인 지수 움직임",0
220,美 강한 소비에 다우 등 상승 마감,0
221,소매주 깜짝실적에 반등…다우 0.9%↑,0
222,잭슨홀 미팅 주시…1%대 상승,0
223,3대 지수 상승…파월 연설 관망+실적 호조,0
224,위안화 따라간 원화…원·달러 환율 상승,0
225,'금리인하 끝났나'…韓증시 나흘만에 하락,0
226,'매파' 연준에 당황한 증시 짙은 관망,0
227,美 '잭슨홀' 파월 연설 앞두고 관망,0
228,"코스피, 외인·기관 매도에 1950선 후퇴",0
229,짧았지만 강렬한 경고…장단기 금리 또 역전,0
230,'삼성 공화국’에 쏠린 매수리포트,0
231,'부익부빈익빈' ETF…올 들어 소규모 펀드 약 4배 늘어나,0
232,변동성 여전한데⋯아슬아슬한 증권사 파생상품 발행 러시,0
233,장단기 금리역전에도 오른 美 증시…경기침체 우려 완화,0
234,"낮아지는 실적 눈높이, 제한적인 지수 움직임",0
235,美 강한 소비에 다우 등 상승 마감,0
236,소매주 깜짝실적에 반등…다우 0.9%↑,0
237,잭슨홀 미팅 주시…1%대 상승,0
238,3대 지수 하락…파월 연설 관망+中 관세 위협,0
239,코스닥 상승 덕에 레버리지ETF 수익률 `점프`,0
240,日 2차보복·MSCI 재조정…다음주도 악재 가득,0
241,'매파'에 힘싣는 연준…잭슨홀 연설 앞둔 증시 관망세,0
242,지소미아 종료와 위안화 절하…원·달러 환율 상승,0
243,자고 나면 美 금리 방향이 나온다,0
244,"코스피, 잭슨홀 연설 앞두고 부담감 상승…약보합",0
