뉴스제목,주가변동
글로벌 큰손들 '검은 연기 내뿜는 기업' 투자 외면,0
"한국바이오젠, 日 수출규제 속 국내 유일 실리콘 합성기술 보유 부각…공모가 상회",0
한국증시도 실망… 변동성 커졌다,0
"첨생법, 국회 법사위 통과…관련株 강세",0
"코스피, 외인·기관 동반 순매도에 2010선 위협… 코스닥 620선",0
③수익 관리감독 사각지대?,0
"한화투자증권 ""미성년자녀 연금저축계좌 개설시 선물 증정""",0
감정 싸움된 에스엠 주주서한…본질 두고 엇갈린 해석,0
②어린이 직접 광고 금지...보람튜브는 왜?,0
"5G폰 데이터 공유, LTE 쓰는 가족은 SKT, 5G 쓰는 가족은 LG U+ 유리",0
"""전망 밝은 '자동차·증권·반도체'로 8월 코스피 반등 대비""",0
오전장 기술적 분석 특징주 A(코스닥),0
실적 확인한 제약株…신약개발 모멘텀 딛고 반등,0
파월에 실망한 증시…2020선 내줘,0
국회 통과 앞둔 '첨생법'…“재생의료 관련주 수혜 기대”,0
연준 추가 인하 힌트 기다리던 월가 '실망',0
증시요약(9) - 기술적 분석 특징주 A(코스닥),0
"“한국 6월 산업활동, 경기 바닥 확인 시점 지연”",0
"금리인하·호실적 전망에도 '증시 부진', 힘 못쓰는 증권주",0
증시요약(10) - 기술적 분석 특징주 B(코스닥),0
"보령메디앙스, '애국테마주' 전망에 급등",0
오후장 특징주★(코스닥),0
전일대비 거래량 급증 종목(코스닥),0
오전장 기술적 분석 특징주 B(코스닥),0
"코스피, 이틀 연속 내리며 2010선 후퇴… 코스닥 620선",0
"제일약품 ""표적항암제, 기존 美 FDA 승인 신약보다 효과 탁월""…신약 가치 '↑'",0
"한화투자증권 ""미성년 자녀 연금저축계좌 개설 시 선물 증정""",0
오후장 기술적 분석 특징주 A(코스닥),0
바이오 주주분들 희소식입니다,0
"설 땅 좁아지는 탄소배출 기업…""블랙록, 한전·두산 탓에 손실""",0
연준의 ‘매파 기조 섞인 금리인하'에 세계증시↓ vs 달러↑,0
▶ 감사합니다. 추천주 현대바이오로 1억 벌었습니다!,0
"코스피, 2020선 회복..약보합세",0
내우외환에 1% 넘게 하락…630선 하회,0
"외국계 순매수,도 상위종목(코스닥) 수량기준",0
오후장 기술적 분석 특징주 B(코스닥),0
신라젠 능가할 바이오株 ! 대장주만 골라서 무료로 제공해 드립니다!,0
1억원 이상 매도체결 상위 20 종목(코스닥),0
악재를 견디는 힘을 확인해야,0
5거래일 기준 누적하락률 상위 종목(코스피),0
"韓日증시, '화이트리스트' 제외 등에 하락..닛케이, 코스피보다 더빠져",0
韓 보다 더 떨어지는 日 증시…니케이 2%대 급락,0
어닝쇼크에 주가 '와르르' 목표가 '뚝뚝',0
전일대비 거래량 급증 종목(코스피),0
日무역보복 절정...연이틀 하락,0
7개월 만에 2000선 밑으로…`美·日·中` 트리플 악재,0
"신라젠, '하한가' 급락...무용성 평가 결과 펙사벡 임상 3상 중단 권고",0
트럼프 中 추가 관세 발언에 수직 하락,0
"신라젠, 3상 중단 통보에 투심 `꽁꽁`…바이오株 평균 4%대 `뚝뚝`",0
"엠에스오토텍, 中테슬라 '바이튼' 생산 공급 합의 소식에↑",0
증시요약(5) - 특징 종목(코스닥),0
3S(060310)소폭 상승세 +4.22%,0
"외국계 순매수,도 상위종목(코스피) 수량기준",0
오전장 특징주★(코스닥),0
하루만에 `시총 1조` 날아간 신라젠…6위로 `추락`,0
오후장★섹터동향,0
오전장★섹터동향,0
"외국계 순매수,도 상위종목(코스닥) 금액기준",0
코스닥 하락률 상위 50종목,0
"변동성완화장치(VI) 발동 종목, 발동시간 기준",0
코스피·코스닥 급락에 증권주 동반 약세,0
증시요약(3) - 특징 섹터,0
"코스피, 악재 쏟아진 하루…2000선 끝내 내줘",0
"코스피 외국인 순매수,도 상위20종목",0
"문대통령 국무회의 직후 증권가 ""삼전·하이닉스 日화이트리스트 영향 제한적""",0
"코스닥 기관 순매수,도 상위20종목",0
증시요약(4) - 특징 종목(코스피),0
'인스타각' 예쁜 카페들..비싸고 자리도 불편 'SNS세'냐?,0
"필룩스, 나스닥 상장 위해 리미나투스에 바이럴진 매각",0
낙폭 줄인 코스닥...620선도 넘봐,0
"비에이치, 하반기 신규 아이템 추가로 성장세 전망-하나",0
"코스피, 7개월만에 최저치...2000선 후퇴",0
"`충격의 연속` 바이오株, 이번엔 신라젠 쇼크에 `우수수`",0
"연기금, 4600억 풀어 코스피 구원투수로",0
빚 내서 산 코스닥 주식이 오히려 발목,0
"`외국인 엑소더스` 우려에…개인마저 패닉 ""무조건 팔자""",0
켜켜이 쌓인 악재…패닉이 지배,0
바이오株 다음 타자는 헬릭스미스·메지온…'기대 vs 불신',0
추락하는 증시…연중신고가 종목 `눈길`,0
